window_id,hallucinated,lz_complexity,entropy_rate_estimate,cr,lang_id_entropy,bigram_loglik_ratio,always_separated_cpwer,track_text_length,bigram_llr_per_char
0,True,0.7525773195876289,5.41089889482723,1.2157894736842105,1.2150050811461366,56.45776645609658,2.333333,194,0.2910194147221473
1,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
2,False,0.7402597402597403,4.317853646849224,1.32,0.0,-1.2024579299802554,1.0,77,-0.01561633675299033
3,False,0.7444444444444445,4.515866397340786,1.3366336633663367,0.0,7.374926121009139,1.0,90,0.08194362356676821
4,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
5,True,0.9444444444444444,4.804826016736431,0.9285714285714286,0.4903415031415078,-2.0594769696474486,2.0,36,-0.05720769360131802
6,False,0.6962025316455697,4.024997268909573,1.5192307692307692,0.0,3.6839693117242405,1.0,79,0.046632522933218234
7,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
8,False,0.9117647058823529,4.517061341823328,0.9009009009009009,0.3227569588973982,1.3378623873489346,1.0,34,0.0393488937455569
9,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
10,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
11,True,0.7352941176470589,4.885188374834356,1.3548387096774193,0.5632851350293091,7.266906665687202,3.0,136,0.05343313724770001
12,False,0.696969696969697,4.257456439572664,1.546875,0.0,14.579621032170962,1.0,99,0.1472688993148582
13,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
14,False,0.7232142857142857,4.585070091371916,1.3717948717948718,0.37123232664087563,22.381808607813696,1.0,112,0.19983757685547943
15,False,1.0,1.0,0.42857142857142855,0.0,-0.010668167712633903,1.0,2,-0.005334083856316951
16,False,0.572139303482587,3.916573909744294,2.023489932885906,0.0,36.762596177869455,1.0,201,0.1828984884471117
17,True,0.7305389221556886,5.063173384327379,1.4924012158054711,0.2757252213446102,4.172432037460794,1.333333,167,0.02498462297880715
18,True,0.6377551020408163,4.442464467258984,1.6984615384615385,0.48878866701307144,19.22628233395085,1.666667,196,0.09809327721403494
19,False,0.7314814814814815,4.611098880611029,1.3277310924369747,0.228538143953528,10.63045128833619,1.0,108,0.09843010452163138
20,True,0.8,5.21884956484561,1.2540322580645162,0.7277114976217939,28.05548691775948,2.0,115,0.24396075580660417
21,True,1.0,3.169925001442312,0.6944444444444444,0.5032583347756457,-0.13215555856038463,1.5,9,-0.014683950951153848
22,True,0.7244897959183674,4.455429035559514,1.3679245283018868,0.14372616993938178,-1.0310888178482855,2.0,98,-0.010521314467839648
23,True,0.7777777777777778,5.29460938382258,1.255813953488372,1.0544488927271012,42.071456362180925,3.0,144,0.2921628914040342
24,False,1.0,1.584962500721156,0.5,0.0,1.3648150755217046,1.0,3,0.45493835850723485
25,True,0.7222222222222222,4.961930075254681,1.420731707317073,0.3911772742215075,20.419429592550387,1.5,162,0.1260458616824098
26,True,0.7658227848101266,5.298623112090038,1.2993827160493827,0.9114834923180682,40.09209585359986,3.5,158,0.2537474421113915
27,False,0.704225352112676,4.678771964630087,1.4843205574912892,0.0,19.920152677416695,1.0,142,0.1402827653339204
28,True,0.8571428571428571,4.205906224807302,0.872093023255814,1.2946258909859782,13.748869592273564,2.0,35,0.3928248454935304
29,False,0.8333333333333334,3.869880158145604,0.9782608695652174,0.0,1.3426985277935444,1.0,30,0.04475661759311814
