strategy,label,average_cer,average_cost,relative_cost_vs_tier1,automatic_coverage,tier_3_escalation_count,tier_2_escalation_count,tier_1_count,sample_count,case_count,selected_tier_mix,notes
fixed_mixed_small,experimental/frontier,0.302093,1.0,0.625,1.0,0,0,0,5,5,t1:0;t2:0;t3:0,Multi-tier cascade. Tier 2/3 CER uses conservative estimates bounded by oracle CER. Labeled experimental/frontier until verified with real larger-model outputs.
fixed_separated_small,experimental/frontier,0.191846,2.0,1.25,1.0,0,0,0,5,5,t1:0;t2:0;t3:0,Multi-tier cascade. Tier 2/3 CER uses conservative estimates bounded by oracle CER. Labeled experimental/frontier until verified with real larger-model outputs.
fixed_separated_small_cleaned,experimental/frontier,0.181681,2.1,1.3125,1.0,0,0,0,5,5,t1:0;t2:0;t3:0,Multi-tier cascade. Tier 2/3 CER uses conservative estimates bounded by oracle CER. Labeled experimental/frontier until verified with real larger-model outputs.
router_v2_tier1_only,experimental/frontier,0.120042,1.6,1.0,1.0,0,0,5,5,5,t1:5;t2:0;t3:0,Multi-tier cascade. Tier 2/3 CER uses conservative estimates bounded by oracle CER. Labeled experimental/frontier until verified with real larger-model outputs.
router_v2_tier2_cascade,experimental/frontier,0.11404,6.4,4.0,1.0,0,5,5,5,5,t1:5;t2:5;t3:0,Multi-tier cascade. Tier 2/3 CER uses conservative estimates bounded by oracle CER. Labeled experimental/frontier until verified with real larger-model outputs.
router_v2_tier3_cascade,experimental/frontier,0.11404,19.2,12.0,1.0,5,5,5,5,5,t1:5;t2:5;t3:5,Multi-tier cascade. Tier 2/3 CER uses conservative estimates bounded by oracle CER. Labeled experimental/frontier until verified with real larger-model outputs.
cost_first_cascade,experimental/frontier,0.120042,1.6,1.0,1.0,0,0,5,5,5,t1:5;t2:0;t3:0,Multi-tier cascade. Tier 2/3 CER uses conservative estimates bounded by oracle CER. Labeled experimental/frontier until verified with real larger-model outputs.
accuracy_first_cascade,experimental/frontier,0.11404,19.2,12.0,1.0,5,5,5,5,5,t1:5;t2:5;t3:5,Multi-tier cascade. Tier 2/3 CER uses conservative estimates bounded by oracle CER. Labeled experimental/frontier until verified with real larger-model outputs.
oracle_best,experimental/frontier,0.120042,999.0,624.375,1.0,0,0,0,5,5,t1:0;t2:0;t3:0,Multi-tier cascade. Tier 2/3 CER uses conservative estimates bounded by oracle CER. Labeled experimental/frontier until verified with real larger-model outputs.
