case_id,overlap_level,tier_1_method,tier_1_cer,tier_1_cost,risk_level,risk_reasons,escalated_to_tier_2,tier_2_method,tier_2_cer,tier_2_cost,escalated_to_tier_3,tier_3_method,tier_3_cer,tier_3_cost,final_tier,final_method,final_cer,final_cost,total_cost,oracle_cer,notes,split,tier_name
HeavyOverlap,3,separated_whisper_small,0.109489,2.0,medium,length_ratio=2.47>1.35,True,separated_whisper_medium,0.104015,6.0,True,separated_whisper_large,0.104015,16.0,3,separated_whisper_large,0.104015,24.0,24.0,0.109489,rule=t1:heavy_opposite->separated; risk=medium; t2=yes; t3=yes,,
LightOverlap,1,mixed_whisper_small,0.210714,1.0,high,length_ratio=2.56>1.35; dup_removed=6>=5; overlap_level=1 (separation-hurts zone),True,mixed_whisper_medium,0.200178,3.0,True,mixed_whisper_large,0.200178,8.0,3,mixed_whisper_large,0.200178,12.0,12.0,0.210714,rule=t1:light_mid_overlap->mixed; risk=high; t2=yes; t3=yes,,
MidOverlap,2,mixed_whisper_small,0.178947,1.0,high,length_ratio=2.55>1.35; overlap_level=2 (separation-hurts zone),True,mixed_whisper_medium,0.17,3.0,True,mixed_whisper_large,0.17,8.0,3,mixed_whisper_large,0.17,12.0,12.0,0.178947,rule=t1:light_mid_overlap->mixed; risk=high; t2=yes; t3=yes,,
NoOverlap,0,separated_whisper_small,0.053957,2.0,medium,length_ratio=2.17>1.35; no_overlap_many_segments=26,True,separated_whisper_medium,0.051259,6.0,True,separated_whisper_large,0.051259,16.0,3,separated_whisper_large,0.051259,24.0,24.0,0.053957,rule=t1:no_overlap_long->separated; risk=medium; t2=yes; t3=yes,,
OppositeOverlap,4,separated_whisper_small,0.047101,2.0,medium,length_ratio=3.26>1.35,True,separated_whisper_medium,0.044746,6.0,True,separated_whisper_large,0.044746,16.0,3,separated_whisper_large,0.044746,24.0,24.0,0.047101,rule=t1:heavy_opposite->separated; risk=medium; t2=yes; t3=yes,,
