profile,distinct_strategy_count,most_common_strategy,consensus_ratio,scope_count,strategy_set,notes
accuracy_first,2,fixed_separated_whisper_cleaned,0.75,4,fixed_separated_whisper_cleaned;router_v2,Consensus ratio is the share of audited scopes that recommend the most common strategy for this profile.
balanced,1,router_v2,1.0,4,router_v2,Consensus ratio is the share of audited scopes that recommend the most common strategy for this profile.
cost_first,1,fixed_mixed_whisper,1.0,4,fixed_mixed_whisper,Consensus ratio is the share of audited scopes that recommend the most common strategy for this profile.
