window_id,overlap_label,hallucinated,mode_s,diverse_hallucination,lang_id_entropy,kl_score,always_mixed_cpwer,always_separated_cpwer,router_v2_cpwer,oracle_best_cpwer,kl_flag,kl_decision,kl_cpwer,rq16_lang_id_decision,rq16_lang_id_cpwer
53,LightOverlap,1,0,1,1.080626,13.692232,1.0,3.0,1.0,1.0,1,mixed,1.0,mixed,1.0
54,LightOverlap,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
55,MidOverlap,1,0,1,0.409073,15.830717,1.0,1.333333,1.0,1.0,1,mixed,1.0,mixed,1.0
56,LightOverlap,0,0,0,0.0,3.116138,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
57,NoOverlap,1,0,1,1.183979,15.706914,1.0,2.0,1.0,1.0,1,mixed,1.0,mixed,1.0
58,NoOverlap,0,0,0,0.0,3.043061,2.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
59,NoOverlap,0,0,0,0.325552,3.05317,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
60,NoOverlap,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
61,LightOverlap,0,0,0,0.0,3.036884,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
62,NoOverlap,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
63,LightOverlap,1,0,1,1.426068,15.976686,1.0,3.0,1.0,1.0,1,mixed,1.0,mixed,1.0
64,NoOverlap,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
65,LightOverlap,1,0,1,1.313896,16.38929,1.0,2.666667,1.0,1.0,1,mixed,1.0,mixed,1.0
66,LightOverlap,0,0,0,0.0,3.295817,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
67,LightOverlap,0,0,0,0.0,3.295817,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
68,MidOverlap,1,0,1,1.465538,20.723246,1.0,3.0,1.0,1.0,1,mixed,1.0,mixed,1.0
69,LightOverlap,1,0,1,0.967193,15.572286,1.0,1.5,1.0,1.0,1,mixed,1.0,mixed,1.0
70,MidOverlap,1,0,1,1.171037,15.733113,1.0,1.666667,1.0,1.0,1,mixed,1.0,mixed,1.0
71,LightOverlap,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
72,MidOverlap,1,0,1,1.113908,20.723246,1.0,1.75,1.0,1.0,1,mixed,1.0,mixed,1.0
73,LightOverlap,1,0,1,1.411981,19.336952,1.0,4.333333,1.0,1.0,1,mixed,1.0,mixed,1.0
74,MidOverlap,1,0,1,1.384432,18.325351,1.0,1.5,1.0,1.0,1,mixed,1.0,mixed,1.0
75,NoOverlap,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
76,NoOverlap,1,0,1,0.940959,13.781795,1.0,3.0,1.0,1.0,1,mixed,1.0,mixed,1.0
