pair_id,overlap_ratio,noise_type,snr_db,cer_mixed,cer_speaker_gate,max_compression_ratio,repetition_count,mean_logprob,max_no_speech_prob
1,0.3,pink,0.0,0.904762,0.857143,0.7105,0,-1.5182,0.5005
1,0.3,babble,10.0,0.857143,0.761905,0.84,0,-0.9122,0.5678
1,0.3,babble,5.0,10.619048,0.952381,0.7755,0,-0.8223,0.4335
1,0.3,babble,0.0,1.095238,1.0,0.0,0,0.0,0.0
1,0.6,white,10.0,0.761905,0.714286,0.8136,0,-0.9536,0.4581
1,0.6,white,5.0,1.0,1.0,1.2973,1,-1.2351,0.4686
1,0.6,white,0.0,0.952381,10.904762,29.087,268,-0.8499,0.4931
1,0.6,pink,10.0,0.714286,0.571429,0.8824,0,-0.7695,0.403
1,0.6,pink,5.0,0.904762,0.761905,0.8679,0,-1.2094,0.4182
1,0.6,pink,0.0,0.809524,0.904762,0.7885,0,-1.3389,0.5132
1,0.6,babble,10.0,0.809524,0.857143,0.8136,0,-1.2853,0.5352
1,0.6,babble,5.0,10.619048,0.904762,0.8936,0,-1.2447,0.5318
1,0.6,babble,0.0,0.952381,14.095238,29.7,132,-0.0905,0.4954
1,0.8,white,10.0,0.857143,0.52381,0.8372,0,-1.0462,0.3037
1,0.8,white,5.0,0.904762,0.857143,0.8235,0,-1.379,0.3844
1,0.8,white,0.0,0.952381,0.904762,0.9231,0,-1.9188,0.4098
1,0.8,pink,10.0,0.761905,0.428571,0.8478,0,-0.8117,0.3676
1,0.8,pink,5.0,0.952381,0.666667,0.8103,0,-1.3345,0.5074
1,0.8,pink,0.0,0.857143,0.666667,0.75,0,-1.3082,0.3972
1,0.8,babble,10.0,0.952381,0.857143,1.0213,0,-1.0113,0.5266
1,0.8,babble,5.0,0.952381,1.285714,0.8906,0,-1.3549,0.4156
1,0.8,babble,0.0,1.0,4.142857,8.7,27,-0.1758,0.5394
2,0.0,white,10.0,0.944444,0.722222,0.6857,0,-1.487,0.4293
2,0.0,white,5.0,0.944444,6.555556,11.7931,125,-0.8075,0.5245
2,0.0,white,0.0,0.777778,0.888889,0.6562,0,-0.7164,0.3545
2,0.0,pink,10.0,0.777778,0.666667,0.6562,0,-1.149,0.1482
2,0.0,pink,5.0,0.611111,0.833333,0.6857,0,-1.4874,0.2628
2,0.0,pink,0.0,0.888889,0.944444,0.7105,0,-1.5277,0.5768
2,0.0,babble,10.0,0.666667,0.5,0.6562,0,-1.2503,0.2012
2,0.0,babble,5.0,0.888889,0.666667,0.6562,0,-1.3658,0.5926
2,0.0,babble,0.0,1.277778,1.0,0.7857,0,-0.8766,0.4388
2,0.1,white,10.0,0.888889,0.666667,0.6667,0,-1.2577,0.131
2,0.1,white,5.0,0.944444,0.888889,0.6667,0,-1.6071,0.5884
2,0.1,white,0.0,1.0,0.944444,0.6207,0,-0.8163,0.3874
