window_id,overlap_ratio,overlap_label,num_speakers,router_v2_method,lang_id_entropy,lang_id_flag,corrected_decision,always_mixed_char,always_separated_char,corrected_router_char,oracle_char,router_v2_char,residual_corrected_minus_oracle,is_mode_s,separated_char_errors,separated_char_length,mixed_char_errors,mixed_char_length
45,0.0615,LightOverlap,4,mixed,1.378783,True,mixed,0.974619,0.979695,0.974619,0.974619,0.974619,0.0,False,193,197,192,197
46,0.0,NoOverlap,2,separated,0.0,False,separated,0.840237,0.822485,0.822485,0.822485,0.822485,0.0,False,139,169,142,169
47,0.0954,LightOverlap,4,mixed,1.090274,True,mixed,1.0,0.988304,1.0,0.988304,1.0,0.011696,False,169,171,-1,-1
48,0.347,MidOverlap,3,mixed,1.371283,True,mixed,0.900498,0.99005,0.900498,0.900498,0.900498,0.0,False,199,201,181,201
49,0.1363,LightOverlap,4,mixed,1.360527,True,mixed,1.0,0.930233,1.0,0.930233,1.0,0.069767,False,200,215,-1,-1
50,0.223,MidOverlap,2,mixed,0.0,False,separated,1.0,1.0,1.0,1.0,1.0,0.0,False,-1,-1,-1,-1
51,0.1579,LightOverlap,3,mixed,1.324496,True,mixed,0.963855,1.036145,0.963855,0.963855,0.963855,0.0,False,258,249,240,249
52,0.1051,LightOverlap,3,mixed,0.94566,True,mixed,0.747126,0.752874,0.747126,0.747126,0.747126,0.0,False,131,174,130,174
53,0.0806,LightOverlap,2,mixed,1.080626,True,mixed,1.0,0.959184,1.0,0.959184,1.0,0.040816,False,188,196,-1,-1
54,0.0589,LightOverlap,2,mixed,0.0,False,separated,1.0,1.0,1.0,1.0,1.0,0.0,False,-1,-1,-1,-1
55,0.2398,MidOverlap,3,mixed,0.409073,True,mixed,1.0,0.941748,1.0,0.941748,1.0,0.058252,False,194,206,-1,-1
56,0.1959,LightOverlap,2,mixed,0.0,False,separated,0.9163,0.863436,0.863436,0.863436,0.9163,0.0,False,196,227,208,227
57,0.0036,NoOverlap,2,mixed,1.183979,True,mixed,1.0,0.983696,1.0,0.983696,1.0,0.016304,False,181,184,-1,-1
58,0.0,NoOverlap,1,separated,0.0,False,separated,0.793548,0.819355,0.819355,0.793548,0.819355,0.025806,False,127,155,123,155
59,0.0,NoOverlap,2,mixed,0.325552,False,separated,1.0,0.783439,0.783439,0.783439,1.0,0.0,False,123,157,-1,-1
60,0.0346,NoOverlap,2,mixed,0.0,False,separated,1.0,1.0,1.0,1.0,1.0,0.0,False,-1,-1,-1,-1
61,0.0785,LightOverlap,2,mixed,0.0,False,separated,0.771277,0.771277,0.771277,0.771277,0.771277,0.0,False,145,188,145,188
62,0.0274,NoOverlap,2,separated,0.0,False,separated,0.775641,1.0,1.0,0.775641,1.0,0.224359,False,-1,-1,121,156
63,0.0848,LightOverlap,2,mixed,1.426068,True,mixed,1.0,0.985437,1.0,0.985437,1.0,0.014563,False,203,206,-1,-1
64,0.0,NoOverlap,2,mixed,0.0,False,separated,1.0,1.0,1.0,1.0,1.0,0.0,False,-1,-1,-1,-1
65,0.1842,LightOverlap,3,mixed,1.313896,True,mixed,1.0,1.13198,1.0,1.0,1.0,0.0,False,223,197,-1,-1
66,0.1743,LightOverlap,3,mixed,0.0,False,separated,1.0,1.0,1.0,1.0,1.0,0.0,False,248,248,-1,-1
67,0.0547,LightOverlap,2,mixed,0.0,False,separated,1.0,1.0,1.0,1.0,1.0,0.0,False,226,226,-1,-1
68,0.3405,MidOverlap,4,mixed,1.465538,True,mixed,0.931034,0.968966,0.931034,0.931034,0.931034,0.0,False,281,290,270,290
69,0.143,LightOverlap,2,mixed,0.967193,True,mixed,0.856436,0.866337,0.856436,0.856436,0.856436,0.0,False,175,202,173,202
70,0.2049,MidOverlap,3,mixed,1.171037,True,mixed,0.989305,0.973262,0.989305,0.973262,0.989305,0.016043,False,182,187,185,187
71,0.1588,LightOverlap,2,mixed,0.0,False,separated,1.0,1.0,1.0,1.0,1.0,0.0,False,-1,-1,-1,-1
72,0.2605,MidOverlap,4,mixed,1.113908,True,mixed,1.0,0.955285,1.0,0.955285,1.0,0.044715,False,235,246,-1,-1
73,0.1979,LightOverlap,3,mixed,1.411981,True,mixed,1.0,0.967391,1.0,0.967391,1.0,0.032609,False,178,184,-1,-1
74,0.3785,MidOverlap,4,mixed,1.384432,True,mixed,1.0,0.987342,1.0,0.987342,1.0,0.012658,False,234,237,-1,-1
75,0.0434,NoOverlap,2,separated,0.0,False,separated,0.766667,1.0,1.0,0.766667,1.0,0.233333,False,-1,-1,138,180
76,0.0,NoOverlap,1,mixed,0.940959,True,mixed,1.0,0.898551,1.0,0.898551,1.0,0.101449,False,124,138,-1,-1
