window_id,overlap_label,num_speakers,n_nonempty_speakers,always_separated_cpwer,always_mixed_cpwer,router_v2_cpwer,oracle_best_cpwer,hallucinated,score_max,score_sum,score_mean,score_min
63,LightOverlap,2,1,3.0,1.0,1.0,1.0,True,1.426068,1.426068,1.426068,1.426068
64,NoOverlap,2,0,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
65,LightOverlap,3,3,2.666667,1.0,1.0,1.0,True,1.313896,3.077209,1.025736,0.543564
66,LightOverlap,3,1,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
67,LightOverlap,2,1,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
68,MidOverlap,4,4,3.0,1.0,1.0,1.0,True,1.465538,3.792592,0.948148,0.0
69,LightOverlap,2,2,1.5,1.0,1.0,1.0,True,0.967193,0.967193,0.483597,0.0
70,MidOverlap,3,2,1.666667,1.0,1.0,1.0,True,1.171037,2.023442,1.011721,0.852405
71,LightOverlap,2,0,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
72,MidOverlap,4,3,1.75,1.0,1.0,1.0,True,1.113908,2.129637,0.709879,0.0
73,LightOverlap,3,3,4.333333,1.0,1.0,1.0,True,1.411981,2.623601,0.874534,0.0
74,MidOverlap,4,3,1.5,1.0,1.0,1.0,True,1.384432,2.758701,0.919567,0.246023
75,NoOverlap,2,0,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
76,NoOverlap,1,1,3.0,1.0,1.0,1.0,True,0.940959,0.940959,0.940959,0.940959
