overlap_ratio,n,regret_cr_only,regret_cr_nsp,regret_cr_nsp_rep,regret_cr_log,regret_threshold_gate,regret_fixed_mixed,regret_fixed_sep,regret_oracle
0.0,20,0.092463,0.065535,0.065535,0.092463,0.108372,0.065535,0.065535,0.0
0.05,20,0.090094,0.06014,0.06014,0.090094,0.110549,0.06014,0.06014,0.0
0.1,20,0.078864,0.088658,0.088658,0.078864,0.090228,0.08994,0.08994,0.0
0.15,20,0.049384,0.079374,0.079374,0.049384,0.084485,0.079374,0.079374,0.0
0.2,20,0.063598,0.081764,0.081764,0.063598,0.077234,0.781763,0.781763,0.0
0.25,20,0.047974,0.097847,0.097847,0.047974,0.063883,0.097847,0.097847,0.0
0.3,20,0.047763,0.102716,0.103999,0.047763,0.065945,0.802716,0.802716,0.0
0.35,20,0.041354,0.08993,0.078165,0.041354,0.05499,0.376041,0.376041,0.0
0.4,20,0.077895,0.1261,0.1261,0.077895,0.100622,0.829433,0.829433,0.0
0.45,20,0.067141,0.153111,0.153111,0.067141,0.094414,0.153111,0.153111,0.0
0.5,20,0.083785,0.162197,0.162197,0.083785,0.111058,0.162197,0.162197,0.0
0.6,20,0.070181,0.188175,0.188175,0.070181,0.097454,0.199286,0.199286,0.0
0.7,20,0.074587,0.250955,0.250955,0.074587,0.110951,0.250955,0.250955,0.0
0.8,20,0.039391,0.221681,0.221681,0.039391,0.073482,0.258348,0.258348,0.0
0.9,20,0.157181,0.29445,0.245947,0.157181,0.177636,0.314905,0.314905,0.0
